NOMBPROV,CANT_LECTURA,PRACTICA_LECTURA,IDIOMA,PERS_NRO,ESTRATOSOCIO
ABANCAY,205,89.7750686813187,10,3.4035885989011,52.8485576923077
ACOBAMBA,99,73.5416666666667,10,3.51006944444444,8.88888888888889
ACOMAYO,33,26.6666666666667,10,3.6,0
ALTO AMAZONAS,117,70.952380952381,10,3.96904761904762,15.7142857142857
AMBO,30,70.0956937799043,10,3.80143540669856,0
ANDAHUAYLAS,184,88.4595480420908,10,3.64924002836716,20.0319130584785
ANGARAES,119,42.8660049627792,10,4.15612076095947,22.5806451612903
ANTA,15,65.3846153846154,10,3.51923076923077,0
AREQUIPA,525,75.9394575806205,10,3.89145890823171,30.4825289457295
ASCOPE,71,63.75,10,3.93792735042735,22.4358974358974
ATALAYA,98,83.2333833083458,10,4.11294352823588,0
AYABACA,52,57.2649572649573,10,3.74450549450549,0
AYMARAES,40,78.8809523809524,10,3.4752380952381,16.6666666666667
AZANGARO,51,27.2051282051282,10,3.59108669108669,8.33333333333333
BAGUA,131,76.8224012274645,10,3.86016110471807,15.7345607978519
BARRANCA,66,75.4743447766704,10,3.53475452196382,1.86046511627907
BELLAVISTA,35,82.5,10,3.75,25
BOLOGNESI,9,77.7777777777778,10,4.66666666666667,0
BONGARA,43,57.3946360153257,10,3.53639846743295,0
CAJABAMBA,96,66.6512059369202,10,4.182622139765,7.6530612244898
CAJAMARCA,226,68.2154882154882,10,3.98720538720539,38.2154882154882
CALCA,7,71.4285714285714,10,3.71428571428571,0
CALLAO,1394,76.5121699940624,10,3.89831758702797,61.8526321058839
CAMANA,41,79.4642857142857,10,3.76815476190476,0
CANCHIS,44,47.1988795518207,10,3.74649859943978,1.96078431372549
CANDARAVE,15,60,10,3.65,0
CANGALLO,43,95.6521739130435,1,3.77717391304348,0
CARABAYA,50,36.1706349206349,10,3.45634920634921,0
CARAVELI,54,58.7685560053981,10,3.76322537112011,0
CARHUAZ,39,71.7948717948718,10,3.74358974358974,0
CASMA,60,82.4797843665768,10,3.64420485175202,5.66037735849057
CASTILLA,37,82,10,3.81666666666667,0
CASTROVIRREYNA,14,78.5714285714286,10,3.85714285714286,0
CAYLLOMA,47,78.7837837837838,10,4.1527027027027,0
CAÑETE,180,65.8215417739227,10,3.83931093157284,1.52431342907533
CELENDIN,53,88.6792452830189,10,4.13207547169811,26.4150943396226
CHACHAPOYAS,105,85.989010989011,10,3.78296703296703,31.8681318681319
CHANCHAMAYO,76,84.0116279069767,10,3.61820214669052,30
CHEPEN,29,62.6190476190476,10,3.66190476190476,17.8571428571429
CHICLAYO,424,83.5472300921932,10,3.68068813076464,32.541722090698
CHINCHA,207,52.4708707544529,10,3.90726920053413,22.765434192673
CHINCHEROS,87,78.7557932263815,10,3.9131550802139,9.41176470588235
CHOTA,39,75.3086419753087,10,3.07407407407407,14.8148148148148
CHUCUITO,78,42.8030303030303,10,3.69295900178253,0
CHUMBIVILCAS,20,80.5555555555556,10,3.44444444444444,0
CHUPACA,30,93.2659932659933,10,3.66161616161616,33.3333333333333
CHURCAMPA,53,61.4492753623189,10,4.32391304347826,32.6086956521739
CONCEPCION,27,67.8030303030303,10,3.81439393939394,0
CONDESUYOS,20,69.6969696969697,10,4.07575757575758,0
CONDORCANQUI,35,22.8571428571429,4,4.4,0
CONTRALMIRANTE VILLAR,62,79.1666666666667,10,3.84444444444444,12.2222222222222
CONTUMAZA,27,72.2222222222222,10,3.55555555555556,0
CORONEL PORTILLO,629,90.9729511533106,10,4.16629298518347,18.3151414634454
