NOMBPROV,edu_leer,cedu_infra,cedu_equipo,cedu_ensenanza,cedu_material,cedu_partpadres,cant_edu,internet_si,internet_no,celinter_si,celinter_no,internet_total,celinter_total,CANT_LECTURA,PRACTICA_LECTURA,IDIOMA,PERS_NRO,ESTRATOSOCIO,viv_agua,viv_elec,cant_vivienda
CANGALLO,57.5,0.85,0.975,0.9,1,0.825,22,2,34,6,30,36,36,43,95.6521739130435,1,3.77717391304348,0,98.8888888888889,81.3492063492064,61
CANTA,75,0.95,0.65,0.95,0.825,0.95,12,,,,,,,,,,,,89.4736842105263,100,46
CARABAYA,97.7777777777778,0.955555555555556,0.955555555555556,0.955555555555556,0.955555555555556,1,18,0,33,10,23,33,33,50,36.1706349206349,10,3.45634920634921,0,94.4444444444444,97.6190476190476,35
CARAVELI,92.8571428571429,0.696428571428571,0.642857142857143,0.553571428571429,0.65,0.553571428571429,24,11,67,42,36,78,78,54,58.7685560053981,10,3.76322537112011,0,52.6988636363636,98.8636363636364,68
CARHUAZ,61.1111111111111,0.555555555555556,0.388888888888889,1,0.666666666666667,1,12,2,23,5,20,25,25,39,71.7948717948718,10,3.74358974358974,0,100,100,30
CARLOS FERMIN FITZCARRALD,86.1111111111111,0.944444444444444,0.944444444444444,0.944444444444444,0.861111111111111,0.972222222222222,27,,,,,,,,,,,,93.3333333333333,95.5555555555556,45
CASMA,35,0.933333333333333,0.966666666666667,0.916666666666667,0.966666666666667,0.95,31,20,40,42,18,60,60,60,82.4797843665768,10,3.64420485175202,5.66037735849057,93.3333333333333,89.002849002849,64
CASTILLA,87.4285714285714,0.642857142857143,0.842857142857143,0.842857142857143,0.785714285714286,0.971428571428571,22,0,32,5,27,32,32,37,82,10,3.81666666666667,0,98.4615384615385,93.3333333333333,67
CASTROVIRREYNA,83.3333333333333,0.733333333333333,0.833333333333333,0.933333333333333,0.843333333333333,0.85,15,4,12,9,7,16,16,14,78.5714285714286,10,3.85714285714286,0,98.3333333333333,100,62
CAYLLOMA,97.6190476190476,0.815476190476191,0.758928571428571,0.970238095238095,0.889880952380952,0.764880952380952,48,6,45,36,15,51,51,47,78.7837837837838,10,4.1527027027027,0,90.1084085406119,94.6428571428571,101
CAÑETE,83.8933452168746,0.961155674390968,0.887147207367796,0.953282828282828,0.937522281639929,0.96797385620915,99,101,110,116,95,211,211,180,65.8215417739227,10,3.83931093157284,1.52431342907533,82.2234725959446,92.6993042432479,346
CELENDIN,96.3718820861678,0.948412698412698,1,0.904761904761905,0.964285714285714,1,33,15,31,36,10,46,46,53,88.6792452830189,10,4.13207547169811,26.4150943396226,85.996660996661,91.6375291375291,94
CHACHAPOYAS,78.5271317829457,0.877630121816168,0.709080841638981,0.971428571428571,0.787153931339978,0.952380952380952,64,37,72,76,33,109,109,105,85.989010989011,10,3.78296703296703,31.8681318681319,86.2551440329218,97.1354166666667,219
CHANCHAMAYO,81.7833800186742,0.941830065359477,0.8531279178338,0.931746031746032,0.988235294117647,0.914565826330532,64,22,62,40,44,84,84,76,84.0116279069767,10,3.61820214669052,30,98.5054347826087,98.1727734922861,144
CHEPEN,84.1269841269841,0.571428571428571,0.488095238095238,0.896825396825397,0.916666666666667,0.420634920634921,30,17,23,17,23,40,40,29,62.6190476190476,10,3.66190476190476,17.8571428571429,96.2962962962963,100,57
CHICLAYO,83.6419848347497,0.854665334138025,0.773887029762326,0.969273030635845,0.862767258051484,0.925687811265262,303,178,268,262,184,446,446,424,83.5472300921932,10,3.68068813076464,32.541722090698,95.2674689115132,98.7644110275689,901
CHINCHA,86.7818532818533,0.8603003003003,0.853069498069498,0.961653796653797,0.981653796653797,0.949197769197769,113,79,122,116,85,201,201,207,52.4708707544529,10,3.90726920053413,22.765434192673,62.3261065943993,100,271
CHINCHEROS,60.6043956043956,0.691758241758242,0.765934065934066,0.978021978021978,0.895604395604396,0.887362637362637,38,4,81,48,37,85,85,87,78.7557932263815,10,3.9131550802139,9.41176470588235,93.3518862090291,98.5987696514012,110
CHOTA,90.8333333333333,0.88,0.668333333333333,0.821666666666667,0.841666666666667,0.925,39,4,44,30,18,48,48,39,75.3086419753087,10,3.07407407407407,14.8148148148148,83.1466842336408,93.0818275926972,151
CHUCUITO,91.9047619047619,0.865079365079365,0.878968253968254,0.976190476190476,0.920634920634921,0.869444444444445,24,0,55,20,35,55,55,78,42.8030303030303,10,3.69295900178253,0,77.9605263157895,97.6190476190476,65
CHUMBIVILCAS,70,0.633333333333333,0.5,0.883333333333333,0.9,0.866666666666667,19,3,16,5,14,19,19,20,80.5555555555556,10,3.44444444444444,0,93.3333333333333,88.2323232323232,75
CHUPACA,83.8095238095238,0.714285714285714,0.614285714285714,0.971428571428571,0.966666666666667,0.971428571428571,20,8,18,8,18,26,26,30,93.2659932659933,10,3.66161616161616,33.3333333333333,97.037037037037,98.0324074074074,66
CHURCAMPA,69.9675324675325,0.641233766233766,0.462662337662338,0.834415584415585,0.847402597402597,0.602272727272727,27,2,31,15,18,33,33,53,61.4492753623189,10,4.32391304347826,32.6086956521739,95.9183673469388,97.9591836734694,69
CONCEPCION,80.7936507936508,0.888888888888889,0.887301587301587,0.966666666666667,0.807936507936508,0.776190476190476,22,0,34,6,28,34,34,27,67.8030303030303,10,3.81439393939394,0,95.9183673469388,98.2142857142857,61
CONDESUYOS,75,1,0.916666666666667,0.666666666666667,1,1,7,1,25,8,18,26,26,20,69.6969696969697,10,4.07575757575758,0,100,100,19
CONDORCANQUI,56.4456778702847,0.516825984171035,0.597039777983349,0.957446808510638,0.846993524514339,0.95004625346901,85,0,16,0,16,16,16,35,22.8571428571429,4,4.4,0,94.8717948717949,23.0769230769231,45
CONTRALMIRANTE VILLAR,69.5027195027195,0.944055944055944,0.974358974358974,0.974358974358974,1,0.981481481481481,42,8,57,38,27,65,65,62,79.1666666666667,10,3.84444444444444,12.2222222222222,13.4278002699055,89.9460188933873,103
CONTUMAZA,50,0.75,0.75,0.75,0.75,0.5,4,5,21,14,12,26,26,27,72.2222222222222,10,3.55555555555556,0,93.75,95.8333333333333,34
CORONEL PORTILLO,63.6271029652559,0.917451497692817,0.72794417678849,0.937871562303901,0.966363567193422,0.962263172119602,352,117,317,326,108,434,434,629,90.9729511533106,10,4.16629298518347,18.3151414634454,90.4729266079042,87.164133663853,638
CORONGO,100,1,0,1,1,1,1,,,,,,,,,,,,87.5,87.5,8
COTABAMBAS,77.7777777777778,0.805555555555556,0.666666666666667,0.75,0.861111111111111,0.861111111111111,19,3,43,22,24,46,46,43,93.3333333333333,10,3.31746031746032,0,92.2254901960784,95.6505847953216,97
CUSCO,91.7399804496579,0.894154447702835,0.901251221896383,0.854180514825676,0.927272727272727,0.885265558813946,84,156,138,215,79,294,294,232,69.8923529121935,10,3.90126722057364,66.133379043701,94.3615384615385,100,308
CUTERVO,92.4155844155844,0.863246753246753,0.823636363636364,0.990909090909091,0.981818181818182,0.940909090909091,44,4,52,35,21,56,56,55,76.25,10,3.89666666666667,0,79.4722719141324,88.7128375500469,104
DANIEL ALCIDES CARRION,58.8095238095238,0.778571428571429,0.749206349206349,0.917857142857143,0.83968253968254,0.804761904761905,48,7,95,29,73,102,102,82,86.5,10,3.545,7,87.2222222222222,95.3227124183007,140
DATEM DEL MARAÑON,64.6515633280339,0.798887122416534,0.835055643879173,0.920906200317965,0.942368839427663,0.817368839427663,77,,,,,,,,,,,,94.7368421052632,35.1973684210526,27
DOS DE MAYO,71.4285714285714,1,0.928571428571429,0.958333333333333,1,0.928571428571429,15,2,14,5,11,16,16,17,81.6666666666667,10,4.03333333333333,50,87.3263888888889,100,43
EL COLLAO,95.4545454545454,0.718181818181818,0.809090909090909,0.763636363636364,0.9,0.863636363636364,16,7,57,25,39,64,64,40,37.5,10,3.35,7.5,88.936170212766,86.8085106382979,52
EL DORADO,87.0535714285714,1,0.958333333333333,1,0.958333333333333,1,34,,,,,,,,,,,,100,94.7916666666667,63
ESPINAR,73.75,0.783333333333333,0.804166666666667,0.404166666666667,0.825,0.829166666666667,22,3,63,26,40,66,66,54,50.4225828262339,10,4.60733603786342,0,92.5,74.2857142857143,69
FERREÑAFE,84.4117647058824,0.970588235294118,0.88578431372549,0.833333333333333,0.855392156862745,0.928921568627451,32,16,51,21,46,67,67,86,95.9523809523809,10,4.69793956043956,16.6666666666667,96.6269841269841,98.3333333333333,92
GENERAL SANCHEZ CERRO,93.1818181818182,0.881818181818182,0.931818181818182,1,0.95,0.763636363636364,21,8,66,53,21,74,74,48,70.3571428571429,10,4.00833333333333,0,94.2300194931774,94.8984468339307,136
GRAN CHIMU,100,0.666666666666667,0.666666666666667,0.666666666666667,0.5,0.666666666666667,6,2,24,4,22,26,26,25,75.8771929824561,10,3.83333333333333,0,54.7619047619048,94.4444444444444,26
GRAU,92.8571428571429,0.857142857142857,0.857142857142857,0.714285714285714,0.857142857142857,0.857142857142857,10,2,46,13,35,48,48,48,79.1005291005291,10,3.48015873015873,0,100,96.1734693877551,57
HUACAYBAMBA,85.4166666666667,1,1,0.916666666666667,1,1,14,2,14,4,12,16,16,12,66.6666666666667,10,3.41666666666667,0,97.6190476190476,100,28
HUALGAYOC,92,0.65,0.94,1,0.96,1,27,5,45,30,20,50,50,41,78.0487804878049,10,3.41463414634146,0,81.7246835443038,93.1170886075949,87
HUALLAGA,56.8627450980392,0.906318082788671,0.906318082788671,0.943355119825708,0.962962962962963,0.962962962962963,27,1,18,5,14,19,19,14,87.5,10,3.25,0,100,95.8169934640523,43
