NOMBPROV,edu_leer,cedu_infra,cedu_equipo,cedu_ensenanza,cedu_material,cedu_partpadres,cant_edu,internet_si,internet_no,celinter_si,celinter_no,internet_total,celinter_total,CANT_LECTURA,PRACTICA_LECTURA,IDIOMA,PERS_NRO,ESTRATOSOCIO,viv_agua,viv_elec,cant_vivienda
PALPA,91.6666666666667,1,1,1,0.916666666666667,0.833333333333333,11,1,15,12,4,16,16,17,17.6470588235294,10,3.17647058823529,0,20.3296703296703,100,32
PARINACOCHAS,61.9047619047619,0.896825396825397,0.841269841269841,0.952380952380952,0.952380952380952,0.619047619047619,14,2,24,13,13,26,26,15,89.2857142857143,10,3.42857142857143,0,72.2222222222222,86.25,42
PARURO,88.75,0.7625,0.9,0.95,0.9,0.95,12,,,,,,,,,,,,100,97.9591836734694,63
PASCO,76.4942464942465,0.862204462204462,0.826432826432827,0.923093573093573,0.849814999815,0.906619306619307,150,80,279,167,192,359,359,329,83.7437967544537,10,3.53565864675177,38.4803489419538,80.0314406642022,89.2857142857143,386
PATAZ,74.7619047619048,1,0.828571428571429,0.971428571428571,1,0.728571428571429,24,2,8,8,2,10,10,11,81.8181818181818,10,3.45454545454545,0,88.5010822510823,99.0384615384615,66
PAUCAR DEL SARA SARA,85,0.5,0.5,0.85,0.65,0.55,10,0,10,1,9,10,10,8,62.5,10,3.375,0,96.4285714285714,96.875,29
PAUCARTAMBO,83.3333333333333,1,0.875,0.916666666666667,0.958333333333333,0.833333333333333,23,,,,,,,,,,,,95.7142857142857,88.0952380952381,43
PICOTA,75.6944444444445,0.791666666666667,0.854166666666667,0.9375,0.854166666666667,0.9375,29,1,18,9,10,19,19,23,64.5833333333334,10,3.52083333333333,0,64.6616541353384,98.5714285714286,55
PISCO,90.1190476190476,0.910714285714286,0.886904761904762,0.995238095238095,0.954761904761905,0.872619047619048,63,46,49,68,27,95,95,111,46.4101112997548,10,4.03927560837578,23.1182795698925,81.2891870295522,99.5073891625616,208
PIURA,81.5254383835202,0.748874553523582,0.795218687594463,0.961591186178206,0.920827487855185,0.901850574486374,272,132,251,256,127,383,383,399,88.3303759272752,10,3.99866774963674,21.3373107752953,78.8732711239883,94.5434438022717,568
POMABAMBA,88.8888888888889,0.833333333333333,0.722222222222222,0.777777777777778,0.944444444444444,1,15,0,32,7,25,32,32,31,55.921052631579,10,3.94298245614035,0,98.3333333333333,91.6666666666667,37
PUERTO INCA,78.125,0.71875,0.9375,0.84375,0.96875,0.875,19,1,14,9,6,15,15,15,73.3333333333333,10,4.26666666666667,0,100,95,29
PUNO,80.9895833333333,0.99609375,0.82421875,0.783854166666667,0.770833333333333,0.934895833333333,44,66,106,122,50,172,172,137,36.6525920713113,10,3.56242083040113,26.8707482993197,72.1925403225806,98.2846102150538,194
PUTUMAYO,75,0.5,0.5,1,0.75,1,4,,,,,,,,,,,,0,100,4
QUISPICANCHI,53.6394557823129,0.755952380952381,0.917857142857143,0.961734693877551,0.953571428571429,0.710714285714286,29,4,56,20,40,60,60,49,60.0595238095238,10,3.58630952380952,0,96.875,87.9358552631579,87
RECUAY,100,1,1,1,1,1,4,0,16,2,14,16,16,9,77.7777777777778,10,3,0,100,93.3333333333333,18
REQUENA,37.8181003584229,0.840636200716846,0.846057347670251,0.856093189964158,0.86581541218638,0.939247311827957,65,1,34,7,28,35,35,86,89.7186147186147,10,4.5443722943723,0,95.4545454545454,100,22
RIOJA,71.8415356573251,0.762759170653908,0.756151742993848,0.911967418546366,0.93577694235589,0.828320802005013,71,14,117,42,89,131,131,140,80.6621331228045,10,3.79750225309939,16.6666666666667,95.2876984126984,94.5133053221288,174
RODRIGUEZ DE MENDOZA,76.7361111111111,0.88125,0.843055555555556,0.965277777777778,0.769444444444444,0.902083333333333,40,1,42,20,23,43,43,27,72.6190476190476,10,3.73809523809524,30.952380952381,93.75,100,103
SAN ANTONIO DE PUTINA,75,0.833333333333333,0.666666666666667,0.791666666666667,0.916666666666667,0.791666666666667,14,1,51,35,17,52,52,38,27.2435897435897,10,3.49358974358974,0,88.8888888888889,84.9206349206349,14
SAN IGNACIO,87.8095238095238,0.653333333333333,0.777142857142857,0.942857142857143,0.971428571428571,0.971428571428571,37,11,47,40,18,58,58,74,72.9602456367162,10,3.80180133591898,7.61904761904762,86.0409592529712,99.1228070175439,90
SAN MARCOS,91,0.87,0.83,0.92,0.98,1,19,1,7,5,3,8,8,6,100,10,3.5,0,92.5,95.8333333333333,65
SAN MARTIN,64.8553743961353,0.88036231884058,0.833919082125604,0.982185990338164,0.951560990338164,0.93074577294686,112,75,83,120,38,158,158,157,73.3717833483139,10,3.90387695995206,62.280701754386,95.6331846161746,97.2407389542736,333
SAN MIGUEL,76.1904761904762,0.761904761904762,0.714285714285714,0.785714285714286,1,0.904761904761905,15,7,33,12,28,40,40,51,78.5185185185185,10,3.6962962962963,0,93.75,87.8125,56
SAN PABLO,93.75,1,0.9375,1,1,1,11,1,9,9,1,10,10,3,100,10,3.33333333333333,0,98.3333333333334,93.3333333333333,38
SAN ROMAN,95.7671957671958,0.57010582010582,0.541005291005291,0.915343915343915,0.933862433862434,0.891534391534391,48,56,244,200,100,300,300,266,39.854859272335,10,3.48209168273893,21.756398940865,91.764705882353,100,107
SANCHEZ CARRION,64.2857142857143,0.760714285714286,0.696428571428571,0.746428571428571,0.707142857142857,0.503571428571429,46,1,57,8,50,58,58,41,35,10,3.63472222222222,0,73.2638888888889,96.875,103
SANDIA,93.3333333333333,0.843333333333333,0.626666666666667,0.833333333333333,1,0.9,19,0,15,14,1,15,15,24,12.5,10,3.91666666666667,0,96.875,93.75,32
SANTA,51.0673952641166,0.928051001821494,0.835458409228901,0.994535519125683,0.988670309653916,0.953855494839101,129,219,220,346,93,439,439,454,84.7430623148323,10,3.7051210268447,31.842239164868,85.0854700854701,99.1452991452991,435
SANTA CRUZ,65.625,0.625,0.90625,0.9375,0.9375,0.96875,14,1,9,5,5,10,10,8,50,10,3.625,0,68.75,75.8333333333333,42
SANTIAGO DE CHUCO,86.9047619047619,1,0.976190476190476,0.916666666666667,1,1,22,3,49,19,33,52,52,35,72.7272727272727,10,3.5,0,72.3214285714286,93.2142857142857,42
SATIPO,69.4795701374649,0.735057340320498,0.671736158578264,0.910154173312068,0.760300372142477,0.810700994911521,101,6,62,18,50,68,68,79,71.0002434680096,10,3.69852509642615,0,96.9907407407408,86.8005451338785,182
SECHURA,88.2936507936508,0.882142857142857,0.914285714285714,0.992857142857143,0.985714285714286,0.960714285714286,56,7,53,39,21,60,60,75,79.0481947130883,10,3.74245647969052,6.91489361702128,38.4722222222222,96.1111111111111,70
SIHUAS,90,1,1,0.6375,1,0.95,13,0,16,4,12,16,16,20,95,10,3.9,0,93.9285714285714,100,36
SUCRE,66.6666666666667,0.666666666666667,0.833333333333333,0.666666666666667,0.666666666666667,0.5,6,,,,,,,,,,,,100,100,30
SULLANA,93.0964109781844,0.810403471733521,0.918390804597701,0.949507389162562,0.94201266713582,0.85137227304715,74,35,115,104,46,150,150,175,76.1993880673126,10,3.9109530285002,48.4905660377359,38.7617691774245,97.7564102564103,247
TACNA,83.4206288159223,0.870486515071391,0.748676305626332,0.834933657035719,0.771000032049741,0.756210959409003,288,394,329,588,135,723,723,578,66.2211285264356,10,3.67992227897897,15.4666060505869,78.151981933607,97.7545465881552,1094
TAHUAMANU,74.8114630467572,0.739064856711916,0.75867269984917,0.895927601809955,0.895927601809955,0.831070889894419,31,13,55,42,26,68,68,65,92.3249299719888,10,3.68037060978237,6.66666666666667,96.551724137931,98.8505747126437,56
TALARA,73.3796296296296,0.972222222222222,0.837962962962963,0.990740740740741,1,0.953703703703704,51,21,40,46,15,61,61,81,73.959938366718,10,4.11633281972265,78.8135593220339,8.05687645687646,97.6689976689977,126
TAMBOPATA,83.2899421450823,0.755220850022252,0.65679795282599,0.728807854917668,0.90223075211393,0.845652536715621,157,153,346,341,158,499,499,586,71.8019480519481,10,3.7270689033189,17.8888888888889,92.9495614035088,97.4989800081599,375
TARATA,100,1,0.666666666666667,0.666666666666667,1,0.333333333333333,5,2,41,18,25,43,43,27,82.5925925925926,10,3.36666666666667,0,98.4848484848485,92.9292929292929,36
TARMA,69.7222222222222,0.983333333333333,0.936111111111111,0.958333333333333,0.983333333333333,0.95,39,11,33,25,19,44,44,34,77.7777777777778,10,3.59722222222222,6.94444444444444,91.6888183844967,99.1596638655462,126
TAYACAJA,87.9166666666667,0.796924603174603,0.843849206349206,0.79593253968254,0.787003968253968,0.814880952380952,94,12,165,85,92,177,177,184,77.7046527046527,10,3.76399668066335,7.20720720720721,90.0847578347578,97.9437321937322,215
TOCACHE,73.202614379085,0.929738562091503,0.888888888888889,0.751143790849673,0.985294117647059,0.985294117647059,39,10,30,27,13,40,40,49,83.0555555555556,10,4.14861111111111,25,93.0418719211823,98.2142857142857,81
TRUJILLO,77.2660875209634,0.915822279134927,0.814229881022139,0.928941752035724,0.8930987873216,0.867139585143427,227,261,198,355,104,459,459,376,49.4275827893577,10,3.92465843327492,41.254215542522,85.6461388377077,99.4648185980589,715
TUMBES,77.5467492539285,0.984690032033164,0.967771158556913,0.971635994388962,0.990437158469945,0.966122392775869,189,127,305,262,170,432,432,457,84.8185791867191,10,3.84542834856579,26.6157151897803,52.8347208260032,99.9036608863199,491
UCAYALI,63.3788174139051,0.829945233454005,0.793130975587116,0.919010489185928,0.930381509328878,0.850181008075745,72,4,38,24,18,42,42,83,66.2525879917184,10,4.75103519668737,0,49.2724867724868,62.962962962963,42
URUBAMBA,61.0119047619048,0.833333333333333,0.726190476190476,0.916666666666667,0.944444444444444,0.908730158730159,29,11,31,18,24,42,42,43,51.1261261261261,10,3.93918918918919,33.3333333333333,82.6871657754011,97.5,55
UTCUBAMBA,70.5187766163376,0.781736353077817,0.749283778552071,0.914634146341463,0.924022454510259,0.894308943089431,92,30,212,118,124,242,242,222,79.8890603463774,10,3.4274217954096,26.8918918918919,71.8254734326163,98.8416988416989,274
VICTOR FAJARDO,62.7976190476191,0.803571428571429,0.755952380952381,0.845238095238095,1,0.657738095238095,17,0,24,9,15,24,24,16,81.25,10,3.5,0,100,98.4615384615385,65
VILCAS HUAMAN,57.5,0.95,1,1,1,1,13,0,16,7,9,16,16,12,83.3333333333333,10,3.25,0,89.8214285714286,98.75,55
VIRU,59.9358974358975,0.798076923076923,0.762820512820513,0.919871794871795,0.958333333333333,0.881410256410256,25,10,24,16,18,34,34,30,12.5,10,3.54166666666667,0,64.5320197044335,100,50
YAROWILCA,62.5,0.875,0.75,0.854166666666667,0.875,0.708333333333333,23,0,16,1,15,16,16,20,0,10,3.6,0,98.5714285714286,92.0714285714286,48
YAULI,66.6666666666667,0.866666666666667,0.766666666666667,0.933333333333333,0.966666666666667,0.933333333333333,15,20,28,19,29,48,48,48,98.2456140350877,10,4.34324447482342,10.5263157894737,92,100,37
YAUYOS,95.2380952380952,0.920634920634921,0.642857142857143,0.698412698412698,0.944444444444444,0.583333333333333,23,1,13,0,14,14,14,8,37.5,10,4.875,0,91.5178571428571,100,64
YUNGAY,73.5119047619048,0.866071428571429,0.901785714285714,1,0.964285714285714,1,17,4,30,17,17,34,34,33,75.7352941176471,10,4.35845588235294,0,95.6666666666667,98.6666666666667,68
YUNGUYO,90,1,0.8,1,0.8,0.9,6,2,23,12,13,25,25,22,18.1818181818182,10,3.77272727272727,40.9090909090909,95.8333333333333,95.2380952380952,39
ZARUMILLA,87.9464285714286,0.686755952380952,0.785962301587302,1,0.988095238095238,0.964285714285714,52,26,127,85,68,153,153,161,84.1948297604036,10,3.64323455233291,5.66204287515763,68.3404940923738,100,136
