NOMBPROV,edu_leer,cedu_infra,cedu_equipo,cedu_ensenanza,cedu_material,cedu_partpadres,cant_edu
CHACHAPOYAS,78.5271317829457,0.877630121816168,0.709080841638981,0.971428571428571,0.787153931339978,0.952380952380952,64
CHANCHAMAYO,81.7833800186742,0.941830065359477,0.8531279178338,0.931746031746032,0.988235294117647,0.914565826330532,64
CHEPEN,84.1269841269841,0.571428571428571,0.488095238095238,0.896825396825397,0.916666666666667,0.420634920634921,30
CHICLAYO,83.6419848347497,0.854665334138025,0.773887029762326,0.969273030635845,0.862767258051484,0.925687811265262,303
CHINCHA,86.7818532818533,0.8603003003003,0.853069498069498,0.961653796653797,0.981653796653797,0.949197769197769,113
CHINCHEROS,60.6043956043956,0.691758241758242,0.765934065934066,0.978021978021978,0.895604395604396,0.887362637362637,38
CHOTA,90.8333333333333,0.88,0.668333333333333,0.821666666666667,0.841666666666667,0.925,39
CHUCUITO,91.9047619047619,0.865079365079365,0.878968253968254,0.976190476190476,0.920634920634921,0.869444444444445,24
CHUMBIVILCAS,70,0.633333333333333,0.5,0.883333333333333,0.9,0.866666666666667,19
CHUPACA,83.8095238095238,0.714285714285714,0.614285714285714,0.971428571428571,0.966666666666667,0.971428571428571,20
CHURCAMPA,69.9675324675325,0.641233766233766,0.462662337662338,0.834415584415585,0.847402597402597,0.602272727272727,27
CONCEPCION,80.7936507936508,0.888888888888889,0.887301587301587,0.966666666666667,0.807936507936508,0.776190476190476,22
CONDESUYOS,75,1,0.916666666666667,0.666666666666667,1,1,7
CONDORCANQUI,56.4456778702847,0.516825984171035,0.597039777983349,0.957446808510638,0.846993524514339,0.95004625346901,85
CONTRALMIRANTE VILLAR,69.5027195027195,0.944055944055944,0.974358974358974,0.974358974358974,1,0.981481481481481,42
CONTUMAZA,50,0.75,0.75,0.75,0.75,0.5,4
CORONEL PORTILLO,63.6271029652559,0.917451497692817,0.72794417678849,0.937871562303901,0.966363567193422,0.962263172119602,352
CORONGO,100,1,0,1,1,1,1
COTABAMBAS,77.7777777777778,0.805555555555556,0.666666666666667,0.75,0.861111111111111,0.861111111111111,19
CUSCO,91.7399804496579,0.894154447702835,0.901251221896383,0.854180514825676,0.927272727272727,0.885265558813946,84
CUTERVO,92.4155844155844,0.863246753246753,0.823636363636364,0.990909090909091,0.981818181818182,0.940909090909091,44
DANIEL ALCIDES CARRION,58.8095238095238,0.778571428571429,0.749206349206349,0.917857142857143,0.83968253968254,0.804761904761905,48
DATEM DEL MARAÑON,64.6515633280339,0.798887122416534,0.835055643879173,0.920906200317965,0.942368839427663,0.817368839427663,77
DOS DE MAYO,71.4285714285714,1,0.928571428571429,0.958333333333333,1,0.928571428571429,15
EL COLLAO,95.4545454545454,0.718181818181818,0.809090909090909,0.763636363636364,0.9,0.863636363636364,16
EL DORADO,87.0535714285714,1,0.958333333333333,1,0.958333333333333,1,34
ESPINAR,73.75,0.783333333333333,0.804166666666667,0.404166666666667,0.825,0.829166666666667,22
FERREÑAFE,84.4117647058824,0.970588235294118,0.88578431372549,0.833333333333333,0.855392156862745,0.928921568627451,32
GENERAL SANCHEZ CERRO,93.1818181818182,0.881818181818182,0.931818181818182,1,0.95,0.763636363636364,21
GRAN CHIMU,100,0.666666666666667,0.666666666666667,0.666666666666667,0.5,0.666666666666667,6
GRAU,92.8571428571429,0.857142857142857,0.857142857142857,0.714285714285714,0.857142857142857,0.857142857142857,10
HUACAYBAMBA,85.4166666666667,1,1,0.916666666666667,1,1,14
HUALGAYOC,92,0.65,0.94,1,0.96,1,27
HUALLAGA,56.8627450980392,0.906318082788671,0.906318082788671,0.943355119825708,0.962962962962963,0.962962962962963,27
HUAMALIES,88.2993197278912,0.971428571428571,0.971428571428571,1,0.964285714285714,0.907142857142857,29
HUAMANGA,72.3263244691816,0.838347763347763,0.853679653679654,0.926695526695527,0.931009070294784,0.669186765615337,134
HUANCA SANCOS,79.3650793650794,0.841269841269841,0.888888888888889,0.888888888888889,0.952380952380952,1,12
HUANCABAMBA,54.3333333333333,0.774444444444445,0.788888888888889,0.788888888888889,0.857777777777778,0.88,37
HUANCANE,72.3484848484848,0.875,0.708333333333333,0.875,0.977272727272727,0.602272727272727,18
HUANCAVELICA,89.2250589531516,0.515814401021024,0.631458299058245,0.834667942946312,0.828819989729937,0.922685372140211,92
HUANCAYO,79.8982441493217,0.938615609143626,0.882015474526251,0.872745158952056,0.89836776431604,0.923489437713576,116
HUANTA,61.9251119251119,0.824074074074074,0.789173789173789,1,0.972222222222222,0.881766381766382,48
HUANUCO,75.4643134643135,0.816062588205445,0.800076193647622,0.842537462537463,0.944684601113173,0.867330447330447,155
HUARAL,89.5,0.915,0.85,0.951666666666667,0.945,0.863333333333333,61
HUARAZ,68.2183908045977,0.854310344827586,0.858620689655172,0.920977011494253,0.955747126436782,0.901724137931035,66
HUARI,79.1666666666667,0.791666666666667,0.75,0.883333333333333,1,0.833333333333333,19
HUARMEY,77.7777777777778,1,1,1,0.933333333333333,1,10
HUAROCHIRI,89.1666666666667,0.825,0.841666666666667,0.975,0.925,0.791666666666667,29
HUAURA,87.0263995263995,0.769586894586895,0.773245273245273,0.965099715099715,0.916208791208791,0.932331557331557,88
HUAYLAS,82.2222222222222,0.966666666666667,0.933333333333333,0.962962962962963,1,1,22
HUAYTARA,77.2222222222222,0.901851851851852,0.87962962962963,0.87037037037037,0.896296296296296,0.783333333333333,34
ICA,93.4247941600883,0.91768525592055,0.943275188863424,0.997222222222222,0.966700619641796,0.874395212630507,213
ILO,82.1468926553672,0.754802259887006,0.654237288135593,0.87683615819209,0.943502824858757,0.815819209039548,69
ISLAY,87.5,0.875,0.666666666666667,0.875,0.833333333333333,0.5,13
JAEN,85.4395604395604,0.734432234432235,0.728937728937729,0.936813186813187,0.912087912087912,0.983516483516483,42
JAUJA,67.5,0.886111111111111,0.777777777777778,0.902777777777778,0.972222222222222,0.872222222222222,33
JORGE BASADRE,87.5,0.85,0.647222222222222,0.888888888888889,0.825,0.688888888888889,16
JULCAN,72.5,0.429166666666667,0.691666666666667,0.929166666666667,0.929166666666667,0.8375,25
JUNIN,55.5555555555556,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.888888888888889,8
LA CONVENCION,60.4201680672269,0.820028011204482,0.859383753501401,0.915266106442577,0.876190476190476,0.743977591036415,43
LA MAR,70.9663352520495,0.937423687423687,0.931972789115646,0.877899877899878,0.984126984126984,0.866213151927438,44
LA UNION,100,0.55,0.1,0.8,0.55,0.1,7
LAMAS,83.3333333333333,0.768707482993197,0.731292517006803,0.979591836734694,1,0.979591836734694,43
LAMBAYEQUE,69.0962496109555,0.815190891171283,0.777777777777778,0.991181657848325,0.85626102292769,0.997354497354497,124
LAMPA,83.3333333333333,0.933333333333333,0.683333333333333,0.833333333333333,0.75,0.95,14
LAURICOCHA,87.5,0.875,1,0.875,1,0.875,12
LEONCIO PRADO,72.3651960784314,0.806004901960784,0.927022058823529,0.886335784313726,0.913480392156863,0.854166666666667,63
LIMA,85.7305245939202,0.838286697158984,0.807668407919399,0.89819103298777,0.866143428879689,0.902185554828799,749
LORETO,32.9301075268817,0.862903225806452,0.791666666666667,0.967741935483871,0.916666666666667,0.936827956989247,47
LUCANAS,67.1428571428571,0.823809523809524,0.761904761904762,1,0.876190476190476,0.471428571428571,18
LUYA,84.0659340659341,0.904945054945055,0.851098901098901,0.965384615384615,0.954166666666667,0.954395604395604,68
MANU,80.9722222222222,0.676388888888889,0.6125,0.940972222222222,0.676388888888889,0.73125,33
MARAÑON,75.7575757575758,0.983333333333333,0.983333333333333,0.983333333333333,0.9,0.945454545454546,36
MARISCAL CACERES,63.1818181818182,0.564393939393939,0.684090909090909,0.943939393939394,0.921212121212121,0.949242424242424,40
MARISCAL LUZURIAGA,72.2222222222222,0.680555555555556,0.791666666666667,0.958333333333333,0.916666666666667,1,19
MARISCAL NIETO,79.2385057471264,0.988505747126437,0.935279519331243,0.770289097875305,0.872779519331244,0.617446011842564,83
MARISCAL RAMON CASTILLA,66.1764705882353,0.718504901960784,0.776838235294118,0.8625,0.9,0.8875,60
MAYNAS,64.8057927386553,0.894384670134255,0.862978000918818,0.942722647313804,0.947206927753384,0.953066680566994,338
MELGAR,90,0.595833333333333,0.5375,0.854166666666667,0.916666666666667,0.8375,16
MOHO,87.5,0.875,0.875,0.875,0.875,0.75,5
MORROPON,78.4970238095238,0.8125,0.8046875,0.984375,0.9921875,0.901413690476191,46
MOYOBAMBA,81.867201426025,0.832575757575757,0.72277183600713,0.883155080213904,0.952762923351159,0.797281639928699,83
NASCA,86.8641774891775,0.96875,0.901785714285714,0.933035714285714,1,0.953125,46
OCROS,41.6666666666667,0.833333333333333,0.916666666666667,1,1,1,9
OTUZCO,59.6428571428572,0.934523809523809,0.901190476190476,0.982142857142857,0.964285714285714,0.847619047619048,45
OXAPAMPA,80.025347745936,0.795319046421988,0.714029393808806,0.892882131485073,0.898528214704685,0.941047038473509,136
OYON,90.4761904761905,0.976190476190476,0.976190476190476,0.976190476190476,0.976190476190476,0.976190476190476,17
PACASMAYO,80.5555555555556,0.680555555555556,0.561111111111111,0.972222222222222,0.944444444444444,0.838888888888889,21
PACHITEA,61.6666666666667,0.872348484848485,0.767424242424243,0.954545454545455,0.959848484848485,0.859848484848485,52
PADRE ABAD,59.2920035938904,0.873418688230009,0.693027852650494,0.945619946091644,0.902560646900269,0.956132075471698,111
PAITA,95.3125,0.703125,0.848958333333333,0.619791666666667,0.961805555555556,0.734375,60
PALLASCA,83.3333333333333,1,0.75,1,1,1,11
PALPA,91.6666666666667,1,1,1,0.916666666666667,0.833333333333333,11
PARINACOCHAS,61.9047619047619,0.896825396825397,0.841269841269841,0.952380952380952,0.952380952380952,0.619047619047619,14
PARURO,88.75,0.7625,0.9,0.95,0.9,0.95,12
PASCO,76.4942464942465,0.862204462204462,0.826432826432827,0.923093573093573,0.849814999815,0.906619306619307,150
PATAZ,74.7619047619048,1,0.828571428571429,0.971428571428571,1,0.728571428571429,24
PAUCAR DEL SARA SARA,85,0.5,0.5,0.85,0.65,0.55,10
PAUCARTAMBO,83.3333333333333,1,0.875,0.916666666666667,0.958333333333333,0.833333333333333,23
PICOTA,75.6944444444445,0.791666666666667,0.854166666666667,0.9375,0.854166666666667,0.9375,29
